School,Program Name,Duration,Tentative Investment (PKR),Quarterly Installment (PKR)
"Dr Hasan Murad School of Management (HSM)","Bachelor of Business Administration","4 years",2090000,130625
"Dr Hasan Murad School of Management (HSM)","Bachelor of Business Administration - Post ADP","2 years",1201581,150197
"Dr Hasan Murad School of Management (HSM)","Bachelor of Business and Information Systems","4 years",1790000,111875
"Dr Hasan Murad School of Management (HSM)","Bachelor of Business and Information Systems - Post ADP","2 years",1050467,131308
"Dr Hasan Murad School of Management (HSM)","BS Accounting and Finance","4 Years",1690000,105625
"Dr Hasan Murad School of Management (HSM)","BS Accounting and Finance - Post ADP","2 years",974862,121857
"Dr Hasan Murad School of Management (HSM)","BS Business and AI","4 Years",1990000,124375
"Dr Hasan Murad School of Management (HSM)","BS Economics","4 Years",1390000,86875
"Dr Hasan Murad School of Management (HSM)","BS Economics - Post ADP","2 years",780848,97606
"Dr Hasan Murad School of Management (HSM)","BS Economics with Data Science","4 years",1390000,86875
"Dr Hasan Murad School of Management (HSM)","BS Economics with Finance","4 years",1390000,86875
"Dr Hasan Murad School of Management (HSM)","BS Economics with Public Policy","4 years",1390000,86875
"Dr Hasan Murad School of Management (HSM)","BS Fintech and Cryptocurrency","4 Years",1690000,124375
"Dr Hasan Murad School of Management (HSM)","BS Management and Technology","4 Years",1390000,86875
"Dr Hasan Murad School of Management (HSM)","BS Operations and Supply Chain Management","4 Years",1390000,86875
"Dr Hasan Murad School of Management (HSM)","BS Operations and Supply Chain Post ADP","2 years",830604,103825
"Dr Hasan Murad School of Management (HSM)","Executive MBA (Weekend)","2 Years",890000,111250
"Dr Hasan Murad School of Management (HSM)","MBA","2 Years",990000,123750
"Dr Hasan Murad School of Management (HSM)","MBA (1.5 Years)","1.5 Years",790000,131667
"Dr Hasan Murad School of Management (HSM)","MS Business Analytics (Weekend)","2 Years",790000,98750
"Dr Hasan Murad School of Management (HSM)","MS Economics","2 Years",790000,98750
